IP source,port source,source geo,IP dest,port dest,dest geo,HTTP request type
10.6.172.101,53626,no geo info,10.6.172.1,53,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,53626,no geo info,
10.6.172.101,49158,no geo info,176.119.29.14,80,Ukraine,POST
10.6.172.101,49158,no geo info,176.119.29.14,80,Ukraine,POST
10.6.172.101,58190,no geo info,10.6.172.1,53,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,58190,no geo info,
10.6.172.101,64909,no geo info,10.6.172.1,53,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,64909,no geo info,
10.6.172.101,49158,no geo info,176.119.29.14,80,Ukraine,POST
10.6.172.101,54113,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,53780,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,64488,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,55214,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,52909,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,55603,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,55001,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,60388,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,50744,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,58748,no geo info,10.6.172.1,53,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,60388,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,55001,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,58748,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,52909,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,50744,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,54113,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,64488,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,55214,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,53780,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,55603,no geo info,
10.6.172.101,62338,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,63422,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,59756,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,58021,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,63282,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,57330,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,55410,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,61534,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,52627,no geo info,10.6.172.1,53,no geo info,
10.6.172.101,64872,no geo info,10.6.172.1,53,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,63422,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,62338,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,59756,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,58021,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,63282,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,57330,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,55410,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,52627,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,61534,no geo info,
10.6.172.1,53,no geo info,10.6.172.101,64872,no geo info,
10.6.172.101,60009,no geo info,10.6.172.1,53,no geo info,
